System,Domain,Task,Organization(s),Organization Categorization,Author(s),Publication date,Year,Reference,Link,Citations,Inclusion criteria,Source,Parameters,Training compute (FLOPs),Training dataset,Training dataset size (datapoints),Hidden layers,Inference compute (FLOPs),Equivalent training time (hours),Inference time (ms),Training dataset size (GB),Approach,Training objective,Training cost (2020 USD)
EfficientNet-L2,Vision,Image classification,Google,Industry,"M Tan, Q Le",28/05/2019,2019,EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks,https://arxiv.org/abs/1905.11946,3.19E+03,Highly cited,,4.80E+08,,,,,3.90E+08,,,,,Score,
MnasNet-A1 + SSDLite,Vision,Performing image classification and object detection on mobile devices,Google ,Industry,"Mingxing Tan, Bo Chen, Ruoming Pang, Vijay Vasudevan, Mark Sandler, Andrew Howard, Quoc V. Le",29/05/2019,2019,MnasNet: Platform-Aware Neural Architecture Search for Mobile,https://arxiv.org/pdf/1807.11626.pdf,1.43E+03,Highly cited,PwC,4.90E+06,1.5E+21,MS COCO,1.18E+05,,,,,,,,
MnasNet-A3,Vision,Performing image classification and object detection on mobile devices,Google ,Industry,"Mingxing Tan, Bo Chen, Ruoming Pang, Vijay Vasudevan, Mark Sandler, Andrew Howard, Quoc V. Le",29/05/2019,2019,MnasNet: Platform-Aware Neural Architecture Search for Mobile,https://arxiv.org/pdf/1807.11626.pdf,1.43E+03,Highly cited,,5.20E+06,1.5E+21,ImageNet,1.28E+06,,,,,,,,
Grover-Mega,Language,,University of Washington,Industry - Academia Collaboration (Academia leaning),"R Zellers, A Holtzman, H Rashkin, Y Bisk",29/05/2019,2019,Defending Against Neural Fake News,https://arxiv.org/abs/1905.12616,2.72E+02,,,1.50E+09,,,,,,,,,,,
DLRM-2020,Recommendation,,Facebook AI,Industry,"M Naumov, D Mudigere, HJM Shi, J Huang",31/05/2019,2019,Deep Learning Recommendation Model for Personalization and Recommendation Systems,https://arxiv.org/abs/1906.00091,1.40E+02,,,1.00E+11,4.0E+18,,,,,,,,,,
FTW,Games,Capture the flag,DeepMind,Industry,"M Jaderberg, WM Czarnecki, I Dunning, L Marris",31/05/2019,2019,Human-level performance in 3D multiplayer games with population-based reinforcement learning,https://deepmind.com/research/publications/capture-the-flag,4.25E+02,,,1.26E+08,,,,,,,,,,,
XLM,Language,,Facebook,Industry,"G Lample, A Conneau",01/06/2019,2019,Cross-lingual Language Model Pretraining,https://arxiv.org/abs/1901.07291,6.78E+02,,,6.65E+08,,,,,,,,,,,
XLNet,Language,,"Carnegie Mellon University, Google AI Brain ",Industry - Academia Collaboration,"Z Yang, Z Dai, Y Yang, J Carbonell",01/06/2019,2019,XLNet: Generalized Autoregressive Pretraining for Language Understanding,https://arxiv.org/abs/1906.08237,3.06E+03,Highly cited,,3.40E+08,,,,,,,,,,,
AMDIM,Drawing,Image completion,Microsoft Research,Industry,,03/06/2019,2019,Learning Representations by Maximizing Mutual Information Across Views,https://arxiv.org/abs/1906.00910,4.86E+02,,,6.26E+08,,,,,,,,,,,
FixRes ResNeXt-101 WSL,Vision,Image classification,Facebook AI,Industry,"H Touvron, A Vedaldi, M Douze, H Jégou",14/06/2019,2019,Fixing the train-test resolution discrepancy,https://arxiv.org/abs/1906.06423,1.65E+02,,,8.29E+08,,,9.40E+08,,,,,,,,1.20E+07
RoBERTa,Language,,Facebook,Industry,"Y Liu, M Ott, N Goyal, J Du, M Joshi, D Chen",01/07/2019,2019,RoBERTa: A Robustly Optimized BERT Pretraining Approach,https://arxiv.org/abs/1907.11692,1.51E+03,Highly cited,,3.55E+08,,,,,,,,,,,
BigBiGAN,Drawing,Image completion,Google,Industry,"Spyros Gidaris, Praveer Singh, Nikos Komodakis",04/07/2019,2019,Large Scale Adversarial Representation Learning,https://arxiv.org/abs/1907.02544,2.52E+02,,,8.60E+07,,,,,,,,,,,
ObjectNet,Vision,Object recognition,MIT,Academia,"Andrei Barbu, David Mayo, Julian Alverio, William Luo, Christopher Wang, Dan Gutfre- und, Josh Tenenbaum, and Boris Katz",06/09/2019,2019,Objectnet: A large-scale bias-controlled dataset for pushing the limits of object recognition models,https://papers.nips.cc/paper/2019/file/97af07a14cacba681feacf3012730892-Paper.pdf,2.39E+03,Highly cited,,3.80E+07,1.9E+19,Internal data,,,,108,,,,,
Hide and Seek,Games,Hide and Seek,OpenAI,Industry,"B Baker, I Kanitscheider, T Markov, Y Wu",17/09/2019,2019,Emergent Tool Use From Multi-Agent Autocurricula,https://openai.com/blog/emergent-tool-use/,2.24E+02,,,1.60E+06,3.0E+17,,,,,,,,,,
Megatron-LM,Language,,NVIDIA,Industry,"M Shoeybi, M Patwary, R Puri, P LeGresley",17/09/2019,2019,Megatron-LM: Training Multi-Billion Parameter Language Models Using Model Parallelism,https://arxiv.org/abs/1909.08053,2.46E+02,,,8.30E+09,9.1E+21,,,,1.80E+13,,,,,,
Megatron-BERT,Language,,NVIDIA,Industry,"M Shoeybi, M Patwary, R Puri, P LeGresley",17/09/2019,2019,Megatron-LM: Training Multi-Billion Parameter Language Models Using Model Parallelism,https://arxiv.org/abs/1909.08053,2.46E+02,,,3.90E+09,5.7E+22,,,,,,,,,,
ALBERT,Language,,"Google, TTIC",Industry - Academia Collaboration,"Z Lan, M Chen, S Goodman, K Gimpel",26/09/2019,2019,ALBERT: A Lite BERT for Self-supervised Learning of Language Representations,https://arxiv.org/abs/1909.11942,1.66E+03,Highly cited,,0.00E+00,,,,,2.25E+10,,,,,,
AlphaX-1,Vision,Neural architecture search for computer vision,Brown and Facebook AI Research,Industry - Academia Collaboration (Academia leaning),"Linnan Wang, Yiyang Zhao, Yuu Jinnai, Yuandong Tian, Rodrigo Fonseca1",02/10/2019,2019,AlphaX: eXploring Neural Architectures with Deep Neural Networks and Monte Carlo Tree Search,https://arxiv.org/pdf/1903.11059.pdf,5.00E+01,,,5.79E+08,7.6E+18,ImageNet,,,,,,,,,
DistilBERT,Language,Text autocompletion,HuggingFace,Industry,"Victor Sanh, Lysandre Debut, Julien Chaumond, Thomas Wolf",02/10/2019,2019,"DistilBERT, a distilled version of BERT: smaller, faster, cheaper and lighter",https://arxiv.org/abs/1910.01108,8.95E+02,,,6.60E+07,,,,,,,,,,Perplexity of next token,
Rubik's cube,Robotics,,Open AI,Industry,"Ilge Akkaya, Marcin Andrychowicz, Maciek Chociej, Mateusz Litwin, Bob McGrew, Arthur Petron, Alex Paino, Matthias Plappert, Glenn Powell, Raphael Ribas, Jonas Schneider, Nikolas Tezak, Jerry Tworek, Peter Welinder, Lilian Weng, Qiming Yuan, Wojciech Zaremba, Lei Zhang
",15/10/2019,2019,Solving Rubik’s Cube with a Robot Hand,https://openai.com/blog/solving-rubiks-cube/,2.27E+02,,,2.78E+07,8.5E+20,,,,,,,,,,
T5-3B,Language,Text autocompletion,Google,Industry,"Colin Raffel, Noam Shazeer, Adam Roberts, Katherine Lee, Sharan Narang, Michael Matena, Yanqi Zhou, Wei Li, Peter J. Liu",23/10/2019,2019,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,https://arxiv.org/abs/1910.10683,1.54E+03,Highly cited,,3.00E+09,1.0E+22,Colossal Clean Crawled Corpus (C4),,,,,,,,,
T5-11B,Language,Text autocompletion,Google,Industry,"Colin Raffel, Noam Shazeer, Adam Roberts, Katherine Lee, Sharan Narang, Michael Matena, Yanqi Zhou, Wei Li, Peter J. Liu",23/10/2019,2019,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,https://arxiv.org/abs/1910.10683,1.54E+03,Highly cited,,1.10E+10,4.1E+22,Colossal Clean Crawled Corpus (C4),,,,,,,,,
BART-large,Language,,Facebook AI,Industry,"Mike Lewis, Yinhan Liu, Naman Goyal, Marjan Ghazvininejad, Abdelrahman Mohamed, Omer Levy, Ves Stoyanov, Luke Zettlemoyer",29/10/2019,2019,"BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension",https://arxiv.org/abs/1910.13461,1.01E+03,Highly cited,,4.06E+08,,,,,,,,,,,
AlphaStar,Games,StarCraft,DeepMind,Industry,"Oriol Vinyals,Igor Babuschkin,Wojciech M. Czarnecki,Michaël Mathieu,Andrew Dudzik,Junyoung Chung,David H. Choi,Richard Powell,Timo Ewalds,Petko Georgiev,Junhyuk Oh,Dan Horgan,Manuel Kroiss,Ivo Danihelka,Aja Huang,Laurent Sifre,Trevor Cai,John P. Agapiou,Max Jaderberg,Alexander S. Vezhnevets,Rémi Leblond,Tobias Pohlen,Valentin Dalibard,David Budden,Yury Sulsky,James Molloy,Tom L. Paine,Caglar Gulcehre,Ziyu Wang,Tobias Pfaff,Yuhuai Wu,Roman Ring,Dani Yogatama,Dario Wünsch,Katrina McKinney,Oliver Smith,Tom Schaul,Timothy Lillicrap,Koray Kavukcuoglu,Demis Hassabis,Chris Apps,David Silver",30/10/2019,2019,Grandmaster level in StarCraft II using multi-agent reinforcement learning,https://www.nature.com/articles/s41586-019-1724-z.epdf,1.04E+03,Highly cited,,1.39E+08,2.0E+23,,,,,,,,,,
Noisy Student (L2),Vision,Image classification,"Carnegie Mellon University, Google",Industry - Academia Collaboration (Industry leaning),"Q Xie, MT Luong, E Hovy",11/11/2019,2019,Self-training with Noisy Student improves ImageNet classification,https://paperswithcode.com/paper/self-training-with-noisy-student-improves/review/,5.76E+02,,,4.80E+08,,,,,1.04E+12,,,,,,
MoCo,Drawing,Image completion,Facebook AI,Industry,,13/11/2019,2019,Momentum Contrast for Unsupervised Visual Representation Learning,https://arxiv.org/abs/1911.05722,1.72E+03,Highly cited,,3.75E+08,,,,,,,,,,,
MuZero,Games,Atari Games,DeepMind,Industry,"J Schrittwieser, I Antonoglou, T Hubert, K Simonyan",19/11/2019,2019,Mastering Atari Go Chess and Shogi by Planning with a Learned Model,https://arxiv.org/abs/1911.08265v2,4.12E+02,SOTA improvement,,3.69E+07,,,,,,,,,,,
StarGAN v2,Drawing,,"NAVER AI Lab, Yonsei University, Swiss Federal Institute of Technology ",Industry - Academia Collaboration (Industry leaning),"Yunjey Choi, Youngjung Uh, Jaejun Yoo, Jung-Woo Ha",4/12/2019,2019,StarGAN v2: Diverse Image Synthesis for Multiple Domains,https://arxiv.org/abs/1912.01865,2.33E+02,,,,,,,,,,,,,,
OpenAI Five Rerun,Games,Dota 2,OpenAI,Industry,"Christopher Berner, Greg Brockman, Brooke Chan, Vicki Cheung,
Przemysław “Psyho"" Dębiak, Christy Dennison, David Farhi, Quirin Fischer, Shariq Hashme, Chris Hesse, Rafal Józefowicz, Scott Gray, Catherine Olsson, Jakub Pachocki, Michael Petrov, Henrique Pondé de Oliveira Pinto, Jonathan Raiman, Tim Salimans, Jeremy Schlatter, Jonas Schneider, Szymon Sidor, Ilya Sutskever, Jie Tang, Filip Wolski, Susan Zhang",22/04/2019,2019,Dota 2 with Large Scale Deep Reinforcement Learning,https://cdn.openai.com/dota-2.pdf,3.49E+02,SOTA improvement,,1.59E+08,1.3E+22,,,,,,,,,,
OpenAI Five,Games,Dota 2,OpenAI,Industry,"J Raiman, S Zhang, F Wolski",10/06/2019,2019,Dota 2 with Large Scale Deep Reinforcement Learning,https://arxiv.org/abs/1912.06680,4.54E+02,SOTA improvement,,1.59E+08,6.7E+22,,,,,,,,,,
Big Transfer (BiT-L),Vision,Image classification,Google Research,Industry,"A Kolesnikov, L Beyer, X Zhai, J Puigcerver, J Yung",24/12/2019,2019,Large scale learning of general visual representations for transfer,https://arxiv.org/abs/1912.11370,5.10E+01,,,9.28E+08,,,,,,,,,,,
DLRM-2021,Recommendation,,Facebook AI ,Industry,"D Mudigere, Y Hao, J Huang, A Tulloch",2020,2020,,,2.00E+00,,,1.00E+12,3.0E+20,,,,,,,,,,1.50E+06
AlphaFold,Other,Protein folding prediction,DeepMind,Industry,"Andrew W. Senior, Richard Evans, John Jumper, James Kirkpatrick, Laurent Sifre, Tim Green, Chongli Qin, Augustin Žídek, Alexander W. R. Nelson, Alex Bridgland, Hugo Penedones, Stig Petersen, Karen Simonyan, Steve Crossan, Pushmeet Kohli, David T. Jones, David Silver, Koray Kavukcuoglu & Demis Hassabis",15/01/2020,2020,Improved protein structure prediction using potentials from deep learning,https://www.nature.com/articles/s41586-019-1923-7,8.40E+02,,,6.90E+07,1.0E+20,,,,,,,,,Score,
ERNIE-GEN (large),Language,Language Generation,Baidu,Industry,"Dongling Xiao, Han Zhang, Yukun Li, Yu Sun, Hao Tian, Hua Wu, Haifeng Wang",26/01/2020,2020,ERNIE-GEN: An Enhanced Multi-Flow Pre-training and Fine-tuning Framework for Natural Language Generation,https://arxiv.org/abs/2001.11314,3.70E+01,,,3.40E+08,,,,,,,,16GB,,,
Meena,Language,Text autocompletion,Google AI,Industry,"Daniel Adiwardana, Minh-Thang Luong, David R. So, Jamie Hall, Noah Fiedel, Romal Thoppilan, Zi Yang, Apoorv Kulshreshtha, Gaurav Nemade, Yifeng Lu, Quoc V. Le",28/01/2020,2020,Towards a Human-like Open-Domain Chatbot,https://ai.googleblog.com/2020/01/towards-conversational-agent-that-can.html,2.57E+02,,,2.60E+09,1.1E+23,,,,,,,,,,
Theseus 6/768,Language,Text autocompletion,"UC San Diego, Beihang University, Microsoft",Industry - Academia Collaboration,"Canwen Xu, Wangchunshu Zhou, Tao Ge, Furu Wei, Ming Zhou",07/02/2020,2020,BERT-of-Theseus: Compressing BERT by Progressive Module Replacing,https://arxiv.org/pdf/2002.02925.pdf,6.70E+01,,,6.60E+07,,,,,1.13E+10,,,,,,
ALBERT-xxlarge,Language,,"Google research, Toyota Technological Institute at Chicago",Industry - Academia Collaboration,"Zhenzhong Lan, Mingda Chen, Sebastian Goodman, Kevin Gimpel, Piyush Sharma, and Radu Soricut",09/02/2020,2020,ALBERT: A Lite BERT for Self-supervised Learning of Language Representations.,https://arxiv.org/pdf/1909.11942.pdf,2.18E+03,Highly cited,LUKE: Deep Contextualized Entity Representations with Entity-aware Self-attention,2.35E+08,2.5E+21,,,,,17408,,,,,
Turing NLG,Language,Text autocompletion,Microsoft,Industry,C Rosset,13/02/2020,2020,Turing-NLG: A 17-billion-parameter language model by Microsoft,https://www.microsoft.com/en-us/research/blog/turing-nlg-a-17-billion-parameter-language-model-by-microsoft/,3.40E+01,,,1.70E+10,1.6E+22,,,,3.60E+13,,,,,Next token prediction,
SimCLR,Drawing,Image completion,"Google Research, Brain Team",Industry,"Ting Chen, Simon Kornblith, Mohammad Norouzi, Geoffrey Hinton",13/02/2020,2020,A Simple Framework for Contrastive Learning of Visual Representations,https://arxiv.org/abs/2002.05709,2.16E+03,Highly cited,,3.75E+08,,,,,,,,,,,
ProGen,Other,Protein generation,"Salesforce research, Stanford",Industry - Academia Collaboration,"A Madani, B McCann, N Naik, NS Keskar",13/03/2020,2020,ProGen: Language Modeling for Protein Generation,https://www.biorxiv.org/content/10.1101/2020.03.07.982272v2,4.60E+01,,,1.20E+09,2.7E+20,,,,,,,,,,
ELECTRA,Language,Text autocompletion,"Stanford, Google Brain",Industry - Academia Collaboration,"Kevin Clark, Minh-Thang Luong, Quoc V. Le, Christopher D. Manning",23/03/2020,2020,Electra: pre-training text encoders as discriminators rather than generators,https://arxiv.org/abs/2003.10555v1,8.42E+02,,,3.35E+08,,,,,7.90E+10,,,,,,
MetNet,Other,Weather prediction,Google,Industry,"Casper Kaae Sønderby, Lasse Espeholt, Jonathan Heek, Mostafa Dehghani, Avital Oliver, Tim Salimans, Shreya Agrawal, Jason Hickey, Nal Kalchbrenner",24/03/2020,2020,MetNet: A Neural Weather Model for Precipitation Forecasting,https://arxiv.org/abs/2003.12140,4.30E+01,,,,,,,,,,,,,,
Agent57,Games,Atari,DeepMind,Industry,"AP Badia, B Piot, S Kapturowski",30/03/2020,2020,Agent57: Outperforming the Atari Human Benchmark,https://arxiv.org/abs/2003.13350,1.32E+02,,,,,,,,,,,,,,
,Vision,Person re-identification,"Xiamen University, Australian National University, Carnegie Mellon University",Academia,"Zhun Zhong, Liang Zheng, Guoliang Kang, Shaozi Li, Yi Yang ",03/04/2020,2020, Random Erasing Data Augmentation ,https://ojs.aaai.org/index.php/AAAI/article/view/7000,1.42E+03,,,,,,,,,,,,,,
MobileBERT,Language,Text autocompletion,"Carnegie Mellon University, Google Brain",Industry - Academia Collaboration (Industry leaning),"Zhiqing Sun, Hongkun Yu, Xiaodan Song, Renjie Liu, Yiming Yang, Denny Zhou",06/04/2020,2020,MobileBERT: a Compact Task-Agnostic BERT for Resource-Limited Devices,https://arxiv.org/abs/2004.02984,1.80E+02,,,2.53E+07,,,,,5.36E+09,,,,,,
CURL,Games,Atari Games,UC Berkeley,Academia,"A Srinivas, M Laskin, P Abbeel",08/04/2020,2020,CURL: Contrastive Unsupervised Representations for Reinforcement Learning,https://arxiv.org/abs/2004.04136v4,1.22E+02,SOTA improvement,,9.07E+05,,,,,,,,,,,
Go-explore,Games,Atari,"Uber AI, Open AI",Industry,"A Ecoffet, J Huizinga, J Lehman, KO Stanley, J Clune",27/04/2020,2020,"First return, then explore",https://arxiv.org/abs/2004.12919,4.00E+01,,,,,,,,,,,,,,
GPT-3 175B,Language,Text autocompletion,OpenAI,Industry,"Tom B. Brown, Benjamin Mann, Nick Ryder, Melanie Subbiah, Jared Kaplan, Prafulla Dhariwal, Arvind Neelakantan, Pranav Shyam, Girish Sastry, Amanda Askell, Sandhini Agarwal, Ariel Herbert-Voss, Gretchen Krueger, Tom Henighan, Rewon Child, Aditya Ramesh, Daniel M. Ziegler, Jeffrey Wu, Clemens Winter, Christopher Hesse, Mark Chen, Eric Sigler, Mateusz Litwin, Scott Gray, Benjamin Chess, Jack Clark, Christopher Berner, Sam McCandlish, Alec Radford, Ilya Sutskever, Dario Amodei",28/04/2020,2020,Language Models are Few-Shot Learners,https://arxiv.org/abs/2005.14165,1.53E+03,Highly cited,,1.75E+11,3.1E+23,CommonCrawl; WebText2; Books1; Books2; Wikipedia,2.85E+11,,7.40E+14,,,45TB,,,
Once for All,Vision,,MIT-IBM Watson AI Lab,Industry,"Han Cai, Chuang Gan, Tianzhe Wang, Zhekai Zhang, and Song Han",29/04/2020,2020,Once for all: Train one network and specialize it for efficient deployment.,https://arxiv.org/pdf/1908.09791.pdf,3.71E+02,,,7.70E+06,1.8E+21,Imagenet,,,,,,,,,
SqueezeBERT,Language,Text autocompletion,Berkeley,Academia,"Forrest N. Iandola, Albert E. Shaw, Ravi Krishna, Kurt W. Keutzer",10/06/2020,2020,SqueezeBERT: What can computer vision teach NLP about efficient neural networks?,https://arxiv.org/abs/2006.11316,3.00E+01,,,5.11E+07,,,,,7.42E+09,,,,,,
iGPT-L,Drawing,Image completion,Open AI,Industry,"Mark Chen, Alec Radford, Rewon Child, Jeff Wu, Heewoo Jun, Prafulla Dhariwal, David Luan, Ilya Sutskever",17/06/2020,2020,Generative Pretraining from Pixels,https://openai.com/blog/image-gpt/,1.82E+02,,,1.36E+09,8.9E+21,ILSVRC 2012,9.60E+06,,,,,,,,
iGPT-XL,Drawing,Image completion,Open AI,Industry,"Mark Chen, Alec Radford, Rewon Child, Jeff Wu, Heewoo Jun, Prafulla Dhariwal, David Luan, Ilya Sutskever",17/06/2020,2020,Generative Pretraining from Pixels,https://openai.com/blog/image-gpt/,1.82E+02,,PwC,6.80E+09,3.3E+22,ILSVRC 2012,9.60E+06,,,,,,,,
GShard (600B),Language,Translation,Google Brain,Industry,"Dmitry Lepikhin, HyoukJoong Lee, Yuanzhong Xu, Dehao Chen, Orhan Firat, Yanping Huang, Maxim Krikun, Noam Shazeer, Zhifeng Chen",30/06/2020,2020,GShard: Scaling Giant Models with Conditional Computation and Automatic Sharding,https://arxiv.org/abs/2006.16668,9.10E+01,,,6.00E+11,1.3E+22,,2.60E+11,,,,,,,,
GShard (dense),Language,Translation,Google Brain,Industry,"Dmitry Lepikhin, HyoukJoong Lee, Yuanzhong Xu, Dehao Chen, Orhan Firat, Yanping Huang, Maxim Krikun, Noam Shazeer, Zhifeng Chen",30/06/2020,2020,GShard: Scaling Giant Models with Conditional Computation and Automatic Sharding,https://arxiv.org/abs/2006.16668,9.10E+01,,,2.30E+09,2.6E+22,,2.60E+11,,,,,,,,
Hopfield Networks (2020),Other,,"Johannes Kepler University Linz,Institute of Advanced Research in Artificial Intelligence,University of Oslo",Academia,"Hubert Ramsauer, Bernhard Schäfl, Johannes Lehner, Philipp Seidl, Michael Widrich, Thomas Adler, Lukas Gruber, Markus Holzleitner, Milena Pavlović, Geir Kjetil Sandve, Victor Greiff, David Kreil, Michael Kopp, Günter Klambauer, Johannes Brandstetter, Sepp Hochreiter",16/07/2020,2020,Hopfield Networks is All You Need,https://arxiv.org/abs/2008.02217,5.40E+01,,,,,,,,,,,,,,
EfficientDet,Vision,Object detection,"Google Research, Brain Team",Industry,"Mingxing Tan, Ruoming Pang, Quoc V. Le",27/07/2020,2020,EfficientDet: Scalable and Efficient Object Detection,https://openaccess.thecvf.com/content_CVPR_2020/html/Tan_EfficientDet_Scalable_and_Efficient_Object_Detection_CVPR_2020_paper.html,7.06E+02,,,5.20E+07,,,,,3.25E+11,,,,,,
ViT-H/14,,,"Google Research, Brain Team",Industry,,28/09/2020,2020,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,https://openreview.net/forum?id=YicbFdNTTy,1.91E+03,Highly cited,,,1.3E+22,Imagenet-1k,1.28E+06,,,,,,,,
wave2vec 2.0 LARGE,Speech,Speech completion,Facebook,Industry,"Alexei Baevski, Henry Zhou, Abdelrahman Mohamed, Michael Auli",22/10/2020,2020,wav2vec 2.0: A Framework for Self-Supervised Learning of Speech Representations,https://arxiv.org/pdf/2006.11477.pdf,4.10E+02,SOTA Improvement,,3.17E+08,4.3E+20,LibriSpeech,,,,,,,,,
ViT-Base/32,Vision,Image representation,"Google Research, Brain Team",Industry,"Alexey Dosovitskiy, Lucas Beyer, Alexander Kolesnikov, Dirk Weissenborn, Xiaohua Zhai, Thomas Unterthiner, Mostafa Dehghani, Matthias Minderer, Georg Heigold, Sylvain Gelly, Jakob Uszkoreit, Neil Houlsby",22/10/2020,2020,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,https://arxiv.org/pdf/2010.11929.pdf,7.29E+02,,,8.60E+07,,,,,,,"0.25 (512px image, one TPUv3 core)",,,Score,
ViT-Huge/14,Vision,Image representation,"Google Research, Brain Team",Industry,"Alexey Dosovitskiy, Lucas Beyer, Alexander Kolesnikov, Dirk Weissenborn, Xiaohua Zhai, Thomas Unterthiner, Mostafa Dehghani, Matthias Minderer, Georg Heigold, Sylvain Gelly, Jakob Uszkoreit, Neil Houlsby",22/10/2020,2020,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,https://arxiv.org/pdf/2010.11929.pdf,7.29E+02,,,6.32E+08,,,,,,,"100 (512px image, one TPUv3 core)",,,,
SimCLRv2,,,"Google Research, Brain team",Industry,"Ting Chen, Simon Kornblith, Kevin Swersky, Mohammad Norouzi, and Geoffrey Hinton",26/10/2020,2020,Big self- supervised models are strong semi-supervised learners.,https://arxiv.org/pdf/2006.10029.pdf,4.57E+02,,Scaling Vision Transformers,7.95E+08,,,1.28E+06,,,,,,,,
KEPLER,,,"Tsinghua University, Princeton, Mila- Quebec AI, University de Montreal, HEC, CIFAR",Academia,"Xiaozhi Wang, Tianyu Gao, Zhaocheng Zhu, Zhiyuan Liu, Juanzi Li, and Jian Tang.",23/11/2020,2020,KEPLER: A Unified Model for Knowledge Embedding and Pre- trained Language Representation.,https://arxiv.org/pdf/1911.06136.pdf,9.60E+01,,LUKE: Deep Contextualized Entity Representations with Entity-aware Self-attention,1.10E+08,1.2E+20,Wikipedia+BookCorpus,3.30E+09,,,,,,,,
AlphaFold2,Other,Protein folding prediction,DeepMind,Industry,"John Jumper, Richard Evans, Alexander Pritzel, Tim Green, Michael Figurnov, Kathryn Tunyasuvunakool, Olaf Ronneberger, Russ Bates, Augustin Žídek, Alex Bridgland, Clemens Meyer, Simon A A Kohl, Anna Potapenko, Andrew J Ballard, Andrew Cowie, Bernardino Romera-Paredes, Stanislav Nikolov, Rishub Jain, Jonas Adler, Trevor Back, Stig Petersen, David Reiman, Martin Steinegger, Michalina Pacholska, David Silver, Oriol Vinyals, Andrew W Senior, Koray Kavukcuoglu, Pushmeet Kohli, Demis Hassabis.",30/11/2020,2020,High Accuracy Protein Structure Prediction Using Deep Learning,https://www.nature.com/articles/s41586-021-03819-2,5.80E+01,,,,,,,,,,,,,,
CPM-Large,Language,,"Tsinghua University, BAAI",Industry - Academia Collaboration,"Z Zhang, X Han, H Zhou, P Ke, Y Gu, D Ye, Y Qin, Y Su",01/12/2020,2020,CPM: A Large-scale Generative Chinese Pre-trained Language Model,https://arxiv.org/abs/2012.00413,1.00E+01,,,2.60E+09,1.8E+21,,1.00E+11,,,,,,,,1.20E+07
VQGAN + CLIP,Drawing,Text-to-image,Heidelberg University,Academia,"Patrick Esser, Robin Rombach, Björn Ommer",17/12/2020,2020,Taming Transformers for High-Resolution Image Synthesis,https://github.com/CompVis/taming-transformers,3.20E+01,,,,,,,,,,,,,,
MuZero,Games,"Atari, Go, Chess, Shogi",DeepMind,Industry,"Julian Schrittwieser, Ioannis Antonoglou, Thomas Hubert, Karen Simonyan, Laurent Sifre, Simon Schmitt, Arthur Guez, Edward Lockhart, Demis Hassabis, Thore Graepel, Timothy Lillicrap & David Silver",23/12/2020,2020,"Mastering Atari, Go, chess and shogi by planning with a learned model",https://deepmind.com/blog/article/muzero-mastering-go-chess-shogi-and-atari-without-rules,4.12E+02,,,,,,2.00E+10,,,,,,,,
AraGPT2-Mega,Language,,American University of Beirut,Academia,"W Antoun, F Baly, H Hajj",31/12/2020,2020,AraGPT2: Pre-Trained Transformer for Arabic Language Generation,https://arxiv.org/abs/2012.15520v1,4.00E+00,,,1.50E+09,2.0E+21,,8.80E+09,,,,,,,,
NEO (DL:RM-2022),Recommendation,,Facebook,Industry,"D Mudigere, Y Hao, J Huang, A Tulloch",2021,2021,Software-Hardware Co-design for Fast and Scalable Training of Deep Learning Recommendation Models,https://arxiv.org/abs/2104.05158,2.00E+00,,,3.00E+12,1.1E+21,,,,,,,,,,
Primer,Language,,"Google Research, Brain Team",Industry,"DavidR.So, WojciechMan ́ke, HanxiaoLiu, ZihangDai, NoamShazeer, QuocV.Le",2021,2021,Primer: Searching for Efficient Transformers for Language Modeling,http://arxiv.org/abs/2109.08668,1.30E+01,,,1.90E+09,7.1E+21,C4,8.67E+11,,,,,,,,
DeBERTa,Language,,Microsoft,Industry,"Pengcheng He, Xiaodong Liu, Jianfeng Gao, Weizhu Chen",2021,2021,DeBERTa: Decoding-enhanced BERT with Disentangled Attention,https://arxiv.org/pdf/2006.03654.pdf,1.76E+02,,,1.50E+09,,,7.80E+10,,,,,"160 (pretraining), ",,,
BigSSL,Language,Audio speech recognition,"Google, Apple",Industry,"Yu Zhang,  Daniel S. Park, Wei Han,James Qin, Anmol Gulati, Joel Shor, Aren Jansen, Yuanzhong Xu, Yanping Huang, Shibo Wang, Zongwei Zhou, Bo Li, Min Ma, William Chan, Jiahui Yu, Yongqiang Wang, Liangliang Cao, Khe Chai Sim, Bhuvana Ramabhadran, Tara N. Sainath, Françoise Beaufays, Zhifeng Chen, Quoc V. Le, Chung-Cheng Chiu, Ruoming Pang and Yonghui Wu",2021,2021,BigSSL: Exploring the Frontier of Large-Scale Semi-Supervised Learning for Automatic Speech Recognition,https://arxiv.org/pdf/2109.13226.pdf,4.30E+01,,,8.00E+09,,,3.12E+06,,,,,,,,
